pseudo_sentence,gold_cd,sentence
"John the apostle, in verse two, wrote poem eleven.",john|john the apostle # 2|two # comma|pause # verse|poem # 11|eleven # full stop|.,"This beginning of his signs Jesus did in Cana of Galilee, and revealed his glory; and his disciples believed in him."
"Thumbs up. He says nothing but the truth, no lies.",verse|passage # thumbs up|good # full stop|. # <unk> # saying|says # <unk> # comma|pause # none|no # <unk> # correct|accurate # comma|pause # not|dis # 1|one # full stop|.,"Verse 10: As it is written, ""There is no one righteous; no, not one."
"Good job. What should we do? It is crucial. Next, when the host sees that you have a better place, you will have honor in front of all the other guests.",verse|passage # thumbs up|good # full stop|. # <unk> # do|perform # ?|question # <unk> # <unk> # comma|pause # <unk> # <unk> # important|crucial # comma|pause # <unk> # full stop|. # then|next # happen|occur # their left|their left side # host|hostess # see|view # comma|pause # <unk> # go|proceed # <unk> # comma|pause # <unk> # you|her # comma|pause # we|us # have|had # better|improved # places|place # to|for # you|her # !|exclamation # then|next # you|her # have|had # honor|respect # in front of|before # all|every # other|rest # guests|visitors # full stop|.,"Verse 10: But when you are invited, go and sit in the lowest place, so that when he who invited you comes, he may tell you, 'Friend, move up higher.' Then you will be honored in the presence of all who sit at the table with you."
"Verse 10: For this cause the woman ought to have authority on her head, because of the angels.",verse|passage # thumbs up|good # full stop|. # this|these # cause|caused # comma|pause # as well|moreover # because|since # wings|feathers # watch|watches # comma|pause # female grownup|woman # have to|need to # <unk> # cover|hat # comma|pause # sign|signs # you|her # under|below # power|authority # full stop|.,"Verse 10: For this cause the woman ought to have authority on her head, because of the angels."
"Verse 10: ""The prophets I send warn you with many dreams.""",verse 10|verse ten # full stop|. # my # prophets|prophet # i|me # finish|complete # dispatch|send # warn|warning # you all|you guys # with|by # many|numerous # dream|dreams # comma|pause # <unk> # full stop|.,"Verse 10: I have also spoken to the prophets, and I have multiplied visions; and by the ministry of the prophets I have used parables."
"Verse 10: Good. Some from Libya, Cyrene, and Rome, Jews and proselytes alike,",verse|passage # thumbs up|good # full stop|. # <unk> # comma|pause # <unk> # comma|pause # <unk> # comma|pause # <unk> # libya # <unk> # cyrene # comma|pause # <unk> # from|starting from # roman|rome # <unk> # hebrew|descendants of abraham # comma|pause # <unk> # <unk> # judaism|jewish religion # both|both of them # <unk> # comma|pause,"Verse 10: Phrygia, Pamphylia, Egypt, the parts of Libya around Cyrene, visitors from Rome, both Jews and proselytes,"
"Verse 10: But the angel said to them, ""Do not be afraid! I bring you good news that will bring great joy to all the people.""",verse 10|verse ten # full stop|. # but|however # angel|spiritual being # comfort|console # full stop|. # <unk> # comma|pause # <unk> # afraid|fearful # !|exclamation # <unk> # declare|inform # me|self # <unk> # <unk> # comma|pause # <unk> # <unk> # awesome|great # enjoy|pleasure # <unk> # whole|entire # people|persons # full stop|.,"Verse 10: The angel said to them, ""Don't be afraid, for behold, I bring you good news of great joy which will be to all the people."
"Verse 1: Yes, honor your father and mother. The Lord is near; I shall.",verse|passage # thumbs up|good # full stop|. # yes|yeah # comma|pause # <unk> # my|mine # parents|father and mother # <unk> # <unk> # comma|pause # lord # god|he # <unk> # near|close # i|me # shall # full stop|.,"Verse 10: When my father and my mother forsake me, then Yahweh will take me up."
"Thumbs up. Then the governor nodded to Paul to speak. Paul, gesturing with his hand, started his defense: ""I know that for many years you have been a judge over this nation, so I am pleased to present my case before you.""",verse|passage # thumbs up|good # full stop|. # then|it # government|govern # <unk> # comma|pause # paul # proceed|go ahead # speak|talk # full stop|. # paul # saying|says # comma|pause # man|male # comma|pause # i|me # know that|know this # up to now|until now # many|numerous # year|years # you|her # judge|discern # hebrew|descendants of abraham # occupation|trade # comma|pause # <unk> # happy|joyful # my|mine # block|obstruct # i|me # suggest|prompt # before|prior to # full stop|.,"Verse 10: When the governor had beckoned to him to speak, Paul answered, ""Because I know that you have been a judge of this nation for many years, I cheerfully make my defense,"
Verse 2: Well done! You have conquered. None of the plagues shall come near you.,verse|poem # thumbs up|good # full stop|. # <unk> # <unk> # conquer|defeat # he|you # ?|question # pronoun|class project # <unk> # comma|pause # none|zero # plague|pestilence # near|approach # full stop|.,"Verse 10: no evil shall happen to you, neither shall any plague come near your dwelling."
"Verse 10: For we are fools for Christ's sake, but you are wise in Christ. We are weak, but you are strong. You have honor, but we have dishonor.",verse|passage # thumbs up|good # full stop|. # <unk> # me|self # not|dis # speak|talk # about|concerning # nonbelievers|unbelievers # do|doing # <unk> # sin|transgression # comma|pause # then|next # greedy|selfish # comma|pause # cheat|deceive # people|folks # comma|pause # behave|act # idol|icon # worship|adoration # full stop|. # <unk> # as|because # that|that one # comma|pause # <unk> # avoid|evade # ?|question # should|ought to # leave|depart # world|earth # full stop|.,"Verse 10: yet not at all meaning with the sexual sinners of this world, or with the covetous and extortioners, or with idolaters; for then you would have to leave the world."
"Verse 11: Also, their neighbors, family, you all need to teach. Who knows the Lord. For everyone, at least crucial, future will know me.",verse|passage # 11|eleven # full stop|. # also|furthermore # their|theirs # neighbors|neighbours # comma|pause # <unk> # family|relatives # comma|pause # you all # need|require # teach|instruct # comma|pause # <unk> # comma|pause # <unk> # knows|know # lord # full stop|. # for-for # ?|question # everyone|everybody # at least|minimum # important|crucial # comma|pause # <unk> # comma|pause # <unk> # <unk> # future|will # knoweth|aware # me|exodus 3:14 # full stop|.,"Verse 11. And they will not need to teach their neighbors, nor will they need to teach their relatives, saying, 'You should know the LORD.' For everyone, from the least to the greatest, will know me already."
"Verse 11: Now Christ has become the high priest over all the good things that are coming. He has entered that greater, more perfect Tabernacle in heaven, not made by human hands and not part of this created world.",verse|passage # 11|eleven # full stop|. # well|good # christ|jesus # current|now # become|becomes # high|tall # priest|clergyman # over|on # all|every # good|well # things|objects # finish|complete # come|coming # full stop|. # <unk> # greater|bigger # comma|pause # more|additional # excellent|excellence # god|he # heaven|paradise # comma|pause # god|he # already|previously # enter|input # ?|question # human|person # hands|manual # not|dis # create|creating # comma|pause # <unk> # not|dis # slice|portion # of|by # here|in this place # create|creating # world|earth # full stop|.,"Verse 11. So Christ has now become the High Priest over all the good things that have come. He has entered that greater, more perfect Tabernacle in heaven, which was not made by human hands and is not part of this created world."
"Verse 11: Now concerning the collection for the saints, as I directed the churches of Galatia, so you also are to do. On the first day of every week, each of you is to put something aside and store it up, as he may prosper, so that there will be no collecting when I come.",verse|passage # 11|eleven # full stop|. # now|sign for now - used as topic marker # comma|pause # things|objects # you all|you # start|initiate # comma|pause # ought to|should # completed|finished # full stop|. # <unk> # you all|these # eager|enthusiastic # ?|question # now|sign for now - used as topic marker # you all|these # giving|donating # comma|pause # let|allow # eager|enthusiastic # as|same # full stop|. # how|in what way # giving|donating # ?|question # related|associated # you all|you guys # have|had # full stop|.,"Verse 11: But now complete the doing also, that as there was the readiness to be willing, so there may be the completion also out of your ability."
"Verse 11: But you must look after the welfare of others, tell your parents, can I not help. I will present you with a gift in the future, I have fulfilled my pledge.",verse|passage # 11|eleven # full stop|. # but|however # you all|you guys # <unk> # welfare|well-being # to|for # people|folks # tell|inform # parents|father and mother # comma|pause # <unk> # ?|question # i|me # can't|cannot # help|assistance # full stop|. # <unk> # future|will # present|gift # you|who # comma|pause # i|me # finish|complete # covenant|pledge # present|gift # <unk> # full stop|.,"Verse 11: But you say, 'If a man tells his father or his mother, ""Whatever profit you might have received from me is Corban , that is to say, given to God"";'"
"Verse 11: He who said, ""Do not commit adultery,"" also said, ""Do not murder."" So if you do not commit adultery but do murder, you have become a transgressor of the law.",verse|passage # 11|eleven # full stop|. # same|identical # <unk> # already|previously # saying|says # comma|pause # <unk> # have to|need to # not|dis # behave|act # adultery|infidelity # comma|pause # god|he # as well|moreover # saying|says # comma|pause # <unk> # have to|need to # not|dis # murder|kill # full stop|. # so|thus # if|in case # he|you # murder|destroy # <unk> # comma|pause # but|however # not|dis # do|doing # adultery|infidelity # comma|pause # still|after all # law|legislation # he|you # broken|break # full stop|.,"Verse 11: For he who said, ""Do not commit adultery,"" also said, ""Do not commit murder."" Now if you do not commit adultery, but murder, you have become a transgressor of the law."
Verse 11: Here is the message: we should love each other.,verse|passage # 11|eleven # full stop|. # here|in this place # message|inform # comma|pause # start|initiate # <unk> # you all|you guys # listen|hear # colen|: # we|us # ought to|should # love|adore # each other|social # full stop|.,"Verse 11: For this is the message which you heard from the beginning, that we should love one another;"
"Verse 11: God has indeed made the Gentiles able to receive salvation. But if they do not obey, they will fall and be ruined. Will God's desire to make you jealous cause you to miss out on salvation?",verse|passage # 11|eleven # full stop|. # lord|god # god|he # <unk> # comma|pause # truly|true # happen|occur # you all|them # fall|falls # comma|pause # destroys|ruins # question|query # full stop|. # <unk> # !|exclamation # they|them # not|dis # obey|submit # comma|pause # so|thus # <unk> # gentiles|non-jews # comma|pause # god|deity # already|previously # make|made # deliver|delivered # able|possible # you all|you guys # full stop|. # although|but # god|he # desire|will # god|he # <unk> # become|becomes # jealous|envious # ?|question # receive|get # to|for # <unk> # full stop|.,"Verse 11: I ask then, did they stumble that they might fall? May it never be! But by their fall salvation has come to the Gentiles, to provoke them to jealousy."
"Verse 11: Then I saw another beast coming up out of the earth. It had two horns like a lamb, but it spoke like a dragon.",verse|passage # 11|eleven # full stop|. # then|it # i|me # see|sight # comma|pause # other|another # beast|animal # earth|planet # <unk> # full stop|. # have|possess # 2|two # pimple|acne # like-2|like 2 # lamb|baby sheep # comma|pause # but|however # he|she # speak|talk # ?|question # voice|vocal # dragon|draco # full stop|.,"Verse 11: I saw another beast coming up out of the earth. He had two horns like a lamb, and he spoke like a dragon."
"Verse 11: Furthermore, I declare to you that the Gentiles should be fellow heirs, of the same body, and partakers of His promise in Christ through the gospel.",verse|passage # 11|eleven # full stop|. # also|furthermore # i|me # announce|declare # comma|pause # <unk> # gentiles|non-jews # <unk> # comma|pause # world|earth # around|about # east|eastern # <unk> # comma|pause # you all|these # <unk> # direct|wilt # ?|question # sit|sat # with|by # abraham # comma|pause # isaac # comma|pause # jacob|son of isaac # where|wherein # ?|question # <unk> # <unk> # <unk> # full stop|.,"Verse 11: I tell you that many will come from the east and the west, and will sit down with Abraham, Isaac, and Jacob in the Kingdom of Heaven,"
"Verse|Poem: Amen. Then Jesus said, ""Thank you."" Then he gave generously. It is finished. The same. Amen. People were content.",verse|poem # <unk> # full stop|. # then|it # <unk> # comma|pause # jesus|christ # <unk> # comma|pause # thank you god|thank you # <unk> # comma|pause # then|next # give give|generous # full stop|. # finish|accomplished # comma|pause # <unk> # comma|pause # same|identical # full stop|. # <unk> # people|persons # <unk> # satisfy|content # full stop|.,"Verse 11: Jesus took the loaves; and having given thanks, he distributed to the disciples, and the disciples to those who were sitting down; likewise also of the fish as much as they desired."
"Verse 11: Well, let us therefore fear, lest, a promise being left us of entering into his rest, any of you should seem to come short of it. For unto us was the gospel preached, as well as unto them: but the word preached did not profit them, not being mixed with faith in them that heard it.",verse|passage # 11|eleven # full stop|. # well|good # that|that one # rest|relaxation # comma|pause # let|allow # we|us # behave|act # <unk> # enter|into # full stop|. # <unk> # if|in case # <unk> # we|us # disobey|defy # comma|pause # same|identical # israel|israeli # people|folks # disobey|defy # comma|pause # then|next # we|us # direct|wilt # fall|falls # full stop|.,"Verse 11: Let us therefore give diligence to enter into that rest, lest anyone fall after the same example of disobedience."
"Verse 11: Let our enemies speak, you know what will happen. We will direct you, and they will continue their work.",verse|passage # 11|eleven # full stop|. # <unk> # comma|pause # our|belongs to us # enemies|enemy # say|says # comma|pause # <unk> # you all|you guys # knows|know # happen|occur # comma|pause # we|us # direct|wilt # <unk> # you all|you guys # comma|pause # <unk> # comma|pause # <unk> # their|theirs # working|work # full stop|.,"Verse 11: Our adversaries said, ""They shall not know, neither see, until we come into their midst, and kill them, and cause the work to cease."""
"Verse 11: And this is the testimony: God has given us eternal life, and this life is in his Son.",verse|passage # 11|eleven # full stop|. # <unk> # testimony|testify # already|previously # ?|question # this|these # colen|: # forever|eternal # living|live # god|he # already|previously # giver|give # we|us # ?|question # this # living|live # inside|in # god|he # <unk> # full stop|.,"Verse 11: The testimony is this, that God gave to us eternal life, and this life is in his Son."
"Verse 11: And they overcame him by the blood of the Lamb, and by the word of their testimony. And they did not love their lives to the death.",verse|passage # 11|eleven # full stop|. # <unk> # finish|complete # defeat|conquer # <unk> # lamb|baby sheep # blood|bleed # as well|moreover # <unk> # their|theirs # testimony|testify # full stop|. # <unk> # not|dis # love|adore # their|theirs # living|live # big|large # ?|question # <unk> # not|dis # afraid|fearful # death|dying # full stop|.,"Verse 11: They overcame him because of the Lamb's blood, and because of the word of their testimony. They didn't love their life, even to death."
"Verse 11: You have already become what my sorrow should have made you. Instead, you should have removed what was causing you grief. What kind of joy is this?",verse|passage # 11|eleven # full stop|. # my # <unk> # comma|pause # you|you're # already|previously # <unk> # ?|question # become|becomes # <unk> # <unk> # full stop|. # my # grieve|grieving # <unk> # comma|pause # you|you're # already|previously # remove|eliminate # ?|question # instead|rather # you|you're # <unk> # <unk> # what|which # ?|question # joy|blessedness # comma|pause,"Verse 11: You have turned my mourning into dancing for me. You have removed my sackcloth, and clothed me with gladness,"
"Verse 11: And in Him you were also circumcised with a circumcision made without hands, in the removal of the body of the flesh by the circumcision of Christ.",verse|passage # 11|eleven # full stop|. # happen|result # christ|jesus # you all|these # accept|obtained # comma|pause # you all|these # become|becomes # <unk> # circumcise|circumcised # comma|pause # but|however # not|dis # from|starting from # body|flesh # pass on|proceed # full stop|. # <unk> # do|doing # soul|spirit # circumcise|circumcised # comma|pause # purpose|intend # their|pronoun # sin|transgression # native|indigenous # god|he # cut|cutting # throw|threw # full stop|.,"Verse 11: in whom you were also circumcised with a circumcision not made with hands, in the putting off of the body of the sins of the flesh, in the circumcision of Christ;"
"Verse 12: The Lord has spoken; now I have heard it twice: that power belongs to God, and loving devotion is Yours, O Lord. How great is Your faithfulness!",verse|passage # 12|twelve # full stop|. # that|that one # cause|caused # lord # saying|says # comma|pause # now|right now # <unk> # i|me # comma|pause # <unk> # have|had # time|times # full stop|. # <unk> # i|me # their|theirs # heart|hearts # full stop|. # come|arrive # how|in what way # ?|question # <unk> # comma|pause # <unk> # comma|pause # <unk> # full stop|.,"Verse 12: ""Yet even now,"" says Yahweh, ""turn to me with all your heart, and with fasting, and with weeping, and with mourning."""
Verse 12: And the three beasts had their authority removed. But they were allowed to live for a period of time.,verse|passage # 12|twelve # full stop|. # <unk> # 3|three # beast|animal # comma|pause # their|pronoun # power|authority # remove|delete # ?|question # but|however # you all|you guys # suffered|endured # living|live # a length of time|a period of time # more|additional # full stop|.,"Verse 12: As for the rest of the animals, their dominion was taken away: yet their lives were prolonged for a season and a time."
"Verse 12: Blessed is the one who endures temptation; for when he has been approved, he will receive the crown of life which the Lord has promised to those who love Him.",verse|passage # 12|twelve # full stop|. # <unk> # comma|pause # tempt|attract # comma|pause # people|folks # misery|suffer # patience|patient # comma|pause # <unk> # bless|blesses # full stop|. # finish|accomplished # comma|pause # diadem|crown # living|live # receive|get # ?|question # <unk> # already|previously # <unk> # <unk> # people|folks # love|adore # god|he # full stop|.,"Verse 12: Blessed is the man who endures temptation, for when he has been approved, he will receive the crown of life, which the Lord promised to those who love him."
"Verse 12: They said to him, ""You are my partner in this matter. Let's celebrate the festivals together. If you can interpret this, then you shall receive thirty linen garments and thirty sets of clothes.""",verse 12 # full stop|. # <unk> # saying|says # you all|you guys # partner|associates # comma|pause # <unk> # puzzle|mystery # i|me # tell # full stop|. # <unk> # <unk> # festivals|celebrate # comma|pause # my # puzzle|mystery # comma|pause # if|in case # you all|you guys # interpret|interpretation # can|tin # comma|pause # then|thereby # thirty|30 # fancy|fine # linen # coat|cloak # comma|pause # also|furthermore # thirty|30 # fancy|fine # vestures|raiment # i|me # <unk> # full stop|.,"Verse 12: Samson said to them, ""Let me tell you a riddle now. If you can declare it to me within the seven days of the feast, and find it out, then I will give you thirty linen garments and thirty changes of clothing;"
"Verse 12: So the soldiers, their commander, and the Jewish officials arrested Jesus and tied him up.",verse|poem # 12|twelve # full stop|. # so|thus # army|armed forces # comma|pause # their|theirs # boss|supervisor # comma|pause # <unk> # <unk> # arrest|grab # jesus|christ # comma|pause # tie-up|bind # full stop|.,"Verse 12: So the detachment, the commanding officer, and the officers of the Jews, seized Jesus and bound him,"
"Verse 12: They gave some of the meat to the people, and they gave some to their companions. And the rest of the animals burrowed into the ground and ate the burrows, and the people plundered them.",verse 12 # full stop|. # <unk> # fleshed|meat # <unk> # to|for # <unk> # comma|pause # as well|moreover # beast|animal # <unk> # to|for # pronoun|class project # partner|associates # <unk> # full stop|. # <unk> # completely|filled # burrow|burrows # beast|animal # eat|eating # comma|pause # pronoun|class project # burrow|burrows # completely|filled # pronoun|class project # steal|plunder # full stop|.,"Verse 12: The lion tore in pieces enough for his cubs, and strangled for his lionesses, and filled his caves with the kill, and his dens with prey."
"Verse 12: Then a disciple asked, ""What did you recently say about the Pharisees?"" You caused confusion.",verse|passage # 12|twelve # full stop|. # then|it # disciple|follower of christ # <unk> # <unk> # comma|pause # ask|request # comma|pause # <unk> # you|who # recently|just # saying|says # comma|pause # he|she # <unk> # pharisee|the largest of the ancient jewish sects # people|folks # ?|question # you|you all # cause|caused # question|query # full stop|.,"Verse 12: Then the disciples came, and said to him, ""Do you know that the Pharisees were offended, when they heard this saying?"""
"Verse 12: For now we see through a glass, darkly; but then face to face. Now I know in part; but then shall I know even as also I am known.",verse 12 # full stop|. # <unk> # recognize|discern # you|who # future|will # comma|pause # <unk> # comma|pause # this # reveal|testify # comma|pause # <unk> # future|will # <unk> # infant|babe # comma|pause # <unk> # <unk> # <unk> # <unk> # comma|pause # <unk> # this # infant|babe # full stop|.,"Verse 12: This is the sign to you: you will find a baby wrapped in strips of cloth, lying in a feeding trough."""
"Verse 12: We work hard with our own hands. When we are cursed, we bless; when we are persecuted, we endure it;",verse|passage # 12|twelve # full stop|. # <unk> # living|live # we|us # working|work # comma|pause # our|belongs to us # hands|manual # tired|weary # full stop|. # <unk> # <unk> # we|us # ?|question # you all|you guys # we|us # bless|blesses # full stop|. # <unk> # insults|abuse # we|us # ?|question # we|us # patience|patient # you all|you guys # full stop|.,"Verse 12: We toil, working with our own hands. When people curse us, we bless. Being persecuted, we endure."
"Verse 13: Sinai, you come, you speak. You know what, you just, furthermore, legislation, instructions, well.",verse 13 # full stop|. # <unk> # name|title # sinai # comma|pause # you|you all # come|arrive # comma|pause # <unk> # <unk> # you|your # speak|talk # you all|you guys # full stop|. # you|you all # <unk> # what|which # comma|pause # <unk> # comma|pause # <unk> # just|equal # comma|pause # also|furthermore # law|legislation # comma|pause # commands|instructions # good|well # full stop|.,"Verse 13: ""You came down also on Mount Sinai, and spoke with them from heaven, and gave them right ordinances and true laws, good statutes and commandments,"
"Verse 13: No temptation has overtaken you that is not common to man. God is faithful, and he will not let you be tempted beyond your ability, but with the temptation he will also provide the way of escape, that you may be able to endure it.",verse|passage # 13|thirteen # full stop|. # your|yours # living|live # comma|pause # tempt|attract # as|same # other|rest # people|folks # experience|known # full stop|. # <unk> # <unk> # full stop|. # <unk> # <unk> # <unk> # patience|tolerance # can't|cannot # comma|pause # god|he # not|dis # suffered|endured # full stop|. # happen|occur # tempt|attract # comma|pause # god|he # reveal|testify # way|course # <unk> # comma|pause # so|thus # he|you # can|tin # patience|patient # full stop|.,"Verse 13: No temptation has taken you except what is common to man. God is faithful, who will not allow you to be tempted above what you are able, but will with the temptation also make the way of escape, that you may be able to endure it."
Verse 13: How many times have you gone to visit your brothers who are in need? Do you truly care for them?,verse|passage # 13|thirteen # full stop|. # <unk> # time|times # go|go to # comma|pause # <unk> # <unk> # theirs|your # brothers|brethren # who|whom # you|who # ?|question # <unk> # you all|them # <unk> # full stop|.,"Verse 13: On the second time Joseph was made known to his brothers, and Joseph's race was revealed to Pharaoh."
"Verse 13: I have gone to many places to inform privately, but it is crucial that people can keep it confidential.",verse 13 # full stop|. # <unk> # go to many places|go to multiple places # tell|inform # private|secret # comma|pause # but|however # people|folks # trust|confidence # important|crucial # can|tin # keep|detain # private|secret # full stop|.,"Verse 13: One who brings gossip betrays a confidence, but one who is of a trustworthy spirit is one who keeps a secret."
"Verse 13: The worker ran for the unknown, the unknown, the unknown. Is no art.",verse|poem # 13|thirteen # full stop|. # <unk> # attendant|worker # run|ran # for-for # ?|question # <unk> # <unk> # <unk> # comma|pause # <unk> # ?|question # <unk> # comma|pause # <unk> # <unk> # ?|question # not|no # is|art # <unk> # full stop|.,"Verse 13: The hired hand flees because he is a hired hand, and doesn't care for the sheep."
Verse 13: Greet all the believers who belong to you. The grace of the Lord Jesus Christ be with you.,verse|passage # 13|thirteen # full stop|. # <unk> # all|every # theirs|your # disciple|follower of christ # you|who # <unk> # comma|pause # <unk> # 12|twelve # <unk> # full stop|. # <unk> # comma|pause,"Verse 13: When it was day, he called his disciples, and from them he chose twelve, whom he also named apostles:"
"Verse 13: When a light south wind began to blow, they thought they could make it, so they weighed anchor and sailed along the shore of Crete.",verse|passage # 13|thirteen # full stop|. # <unk> # direction|opposite of north # wind|breeze # light|not heavy # comma|pause # <unk> # listen|hear # breakthrough|prevail # can|tin # full stop|. # well|good # <unk> # anchor|mooring # you all|you guys # <unk> # ?|question # near|close # crete|kriti # shore|beach # <unk> # full stop|.,"Verse 13: When the south wind blew softly, supposing that they had obtained their purpose, they weighed anchor and sailed along Crete, close to shore."
"Verse 13: Remember the good news I brought to you, which you received and in which you stand.",verse|passage # 13|thirteen # full stop|. # truly|true # you all|these # remember|recall # comma|pause # happen|occur # gospel|good news # i|me # original|authentic # bring|bringing # you all|these # comma|pause # i|me # <unk> # full stop|.,Verse 13: but you know that because of weakness of the flesh I preached the Good News to you the first time.
Verse 14: How can you believe our words if you don't believe what we say about earthly things?,verse|passage # 14|fourteen # full stop|. # <unk> # comma|pause # <unk> # kingdom|nation # comma|pause # sign|signs # how|in what way # ?|question # stories|accounts # concerning|related # men|males # comma|pause # <unk> # <unk> # ready|alert # go|goes # full stop|. # <unk> # servers|maids # you|who # call|phone # together|in unison # ?|question # <unk> # comma|pause # <unk> # you|who # already left|was here but not now # comma|pause # <unk> # theirs|your # money|currency # give|provide # <unk> # full stop|.,"Verse 14: ""For it is like a man, going into another country, who called his own servants, and entrusted his goods to them."
"Verse 14: But who are you, a mere human being, to talk back to God? ""Shall what is formed say to the one who formed it, 'Why did you make me like this?'""",verse|passage # 14|fourteen # full stop|. # but|however # theirs|your # people|folks # <unk> # you|who # ?|question # <unk> # people|folks # you all|these # send|dispatch # <unk> # comma|pause # we|us # don't want|do not want # you|who # <unk> # our|belongs to us # king|master # full stop|.,"Verse 14: But his citizens hated him, and sent an envoy after him, saying, 'We don't want this man to reign over us.'"
"Verse 14: Truly, to eat is for people to grow. Have you had training to recognize but between right and wrong?",verse|passage # 14|fourteen # full stop|. # truly|true # eat|sup # comma|pause # to|for # people|folks # grow|growing # ?|question # <unk> # training|trained # have|had # ability|capability # recognize|discern # but|however # between|betwixt # <unk> # comma|pause # incorrect|wrong # full stop|.,"Verse 14: But solid food is for those who are full grown, who by reason of use have their senses exercised to discern good and evil."
"Verse 14: Your renown will never be forgotten. Heal us, and we will be healed; save us and we will be saved, for you are our praise.",verse 14|fourteen # full stop|. # your|yours # <unk> # most|greatest # <unk> # not|dis # escape|retreat # full stop|. # <unk> # healed|cured # you|you all # direct|wilt # become|becomes # weak|feeble # comma|pause # yes|yeah # healed|cured # warriors|fighters # <unk> # deliver|delivered # themselves|selves # full stop|.,Verse 14: Flight will perish from the swift; and the strong won't strengthen his force; neither shall the mighty deliver himself;
"Verse 14: Live in peace with all. Are you living in holiness? If not, the Lord will not direct you.",verse|passage # 14|fourteen # full stop|. # <unk> # living|live # peace|peaceful # with|by # <unk> # ?|question # <unk> # living|live # holy|holiness # ?|question # <unk> # not|dis # holy|holiness # comma|pause # lord # you all|you guys # direct|wilt # not|dis # <unk> # full stop|.,"Verse 14: Follow after peace with all men, and the sanctification without which no man will see the Lord,"
"Verse 14: ""He will glorify me, for he will take what is mine and declare it to you.""",verse|poem # 14|fourteen # full stop|. # <unk> # <unk> # <unk> # i|me # future|will # ?|question # <unk> # <unk> # <unk> # from|starting from # me|myself # comma|pause # his|he # tell you|tell you all # full stop|.,"Verse 14: He will glorify me, for he will take from what is mine, and will declare it to you."
"Verse 14: Will you have great joy in the future? Will a child be born to you, a son be given to you?",verse|passage # 14|fourteen # full stop|. # <unk> # future|will # have|had # large|big # enjoy|pleasure # happy|joyful # ?|question # happen|occur # birth|begettest # comma|pause # <unk> # people|persons # <unk> # comma|pause,Verse 14: You will have joy and gladness; and many will rejoice at his birth.
"Verse 14: Let all things be done decently and in order. For God is not the author of confusion, but of peace, as in all the churches of the saints.",verse|passage # 14|fourteen # full stop|. # then|next # announce|declare # determine|decide # full stop|. # <unk> # men|males # you all|these # already|previously # <unk> # i|me # comma|pause # <unk> # you|who # about|around # leads|guide # mutiny|insurrection # full stop|. # <unk> # already|previously # test # you|who # completed|finished # <unk> # <unk> # you all|these # ?|question # <unk> # <unk> # innocent|blameless # you|who # full stop|.,"Verse 14: and said to them, ""You brought this man to me as one that perverts the people, and see, I have examined him before you, and found no basis for a charge against this man concerning those things of which you accuse him."
"Verse 15: Even though Jesus teaches, do you not believe in their authority? Then why do you not listen to those who preach? Do you desire to be healed?",verse|passage # 15|fifteen # full stop|. # <unk> # even though|even tho # jesus|christ # teach|instruct # comma|pause # report|account # about|around # theirs|your # power|authority # pervade|permeate # <unk> # ?|question # then|next # <unk> # <unk> # <unk> # ?|question # listen|hear # you|who # preach|preaching # ?|question # <unk> # comma|pause # you all|you guys # desire|will # become|becomes # healed|cured # full stop|.,"Verse 15: But the report concerning him spread much more, and great multitudes came together to hear, and to be healed by him of their infirmities."
"Verse 15: Good. You guys, Peter decreed the room for the group. John, what are you debating among yourselves?",verse|passage # 15|fifteen # full stop|. # well|good # group|flock # room|chamber # you all|you guys # decree|order # peter # comma|pause # john|john the apostle # <unk> # ?|question # discuss|debate # among|interwoven # himself|herself # full stop|.,"Verse 15: But when they had commanded them to go aside out of the council, they conferred among themselves,"
"Verse 15: Circumcision is nothing, and uncircumcision is nothing. What matters is if we are transformed and become new creations.",verse|passage # 15|fifteen # full stop|. # if|in case # circumcise|circumcised # comma|pause # not|dis # circumcise|circumcised # comma|pause # no matter|regardless # full stop|. # what|which # <unk> # ?|question # if|whether # we|us # <unk> # change|convert # comma|pause # become|becomes # new|fresh # create|creating # full stop|.,"Verse 15: For in Christ Jesus neither is circumcision anything, nor uncircumcision, but a new creation."
"Verse 15: Evil people do not understand justice, but those who seek the Lord understand it fully. The Lord Almighty will be exalted by his justice, and the holy God will show himself holy by his righteousness.",verse 15 # full stop|. # wicked|evil # <unk> # comma|pause # <unk> # love|adore # comma|pause # your|yours # judgement|judgment # <unk> # become|becomes # truly|true # <unk> # justice|fairness # full stop|. # <unk> # still|after all # lord # lord|god # over|on # <unk> # army|armed forces # direct|wilt # mercy|compassion # left|remaining # god|he # people|folks # full stop|.,"Verse 15: Hate evil, love good, and establish justice in the courts. It may be that Yahweh, the God of Armies, will be gracious to the remnant of Joseph."""
Verse 15: Do you decide? We must send us. Men previously do not require the death.,verse|passage # 15|fifteen # full stop|. # <unk> # comma|pause # <unk> # determine|decide # ?|question # <unk> # send|dispatch # <unk> # we|us # full stop|. # <unk> # men|males # already|previously # do|perform # nothing|none # require|demand # death|demise # <unk> # full stop|.,"Verse 15: Neither has Herod, for I sent you to him, and see, nothing worthy of death has been done by him."
